Country,Region,Year,Month,Type_of_Tourism,Tourist_Arrivals,Sales,Profit,Average_Spend_Per_Visitor,Operating_Costs,Marketing_Spend,Number_of_Hotels,Tourism_Sector_Employment,Satisfaction_Score
USA,North America,2022,July,Medical,201429,593023.27,422434.25,991.2,88588.57,30582.48,1355,65343,5.85
Italy,Australia,2022,March,Adventure,387967,518392.08,29846.27,1190.61,120005.11,16263.86,3749,89573,9.86
Italy,North America,2021,April,Adventure,31895,193279.43,125529.4,3714.11,157690.02,9221.29,4763,38421,4.53
Spain,North America,2020,November,Eco-tourism,145674,575884.76,10144.58,1687.03,24914.98,40780.46,713,47153,4.63
USA,North America,2021,October,Eco-tourism,40555,212881.01,395034.76,4377.04,37292.95,36575.42,2517,17450,2.74
Germany,Western Europe,2022,April,Adventure,475924,501369.58,346857.63,4132.09,138148.51,46067.72,1728,92899,9.09
USA,Australia,2022,November,Medical,12419,462645.33,153125.1,972.76,151786.19,48129.25,1959,23863,7.38
Australia,Western Europe,2023,December,Eco-tourism,445825,522119.15,453917.88,4255.58,34373.25,9337,2834,95952,6.34
Italy,Australia,2022,February,Medical,21706,176205.22,220718.61,1294.96,6972.22,8554.02,3804,84503,4.14
Germany,Western Europe,2023,September,Cultural,179225,270700.27,446549.13,3831.76,122367.81,11228.39,1471,82179,8.25
Italy,Australia,2023,December,Leisure,82806,688183.6,377740.78,3736.4,126092.56,48472.94,4618,16042,8.9
Netherlands,Australia,2022,April,Eco-tourism,478379,34419.39,368961.31,1870.93,24669.71,20321.22,4525,30377,4.85
USA,North America,2021,November,Cultural,17930,446510.85,274493.98,2341.62,18519.14,42128.1,2129,93831,6.1
Canada,Australia,2020,January,Eco-tourism,320386,946314.95,492741.63,3502.03,6527.16,7829.7,3773,52155,7.51
Canada,Australia,2021,April,Adventure,313928,47513.29,314956.62,2598.43,77916.75,26270.28,914,69619,2.63
Australia,Western Europe,2021,December,Cultural,191250,946292.13,349966.81,969.03,199983.47,41074.19,4510,24447,2.25
Spain,North America,2021,October,Eco-tourism,461013,516801.02,427665.1,3634.72,41644.33,4652.22,4338,76654,8.73
France,Australia,2022,February,Cultural,223525,370956.5,375670.44,877.96,43560.28,11573.23,330,66551,4.19
Australia,Australia,2022,October,Cultural,229823,886821.91,404510.35,2150.55,191166.88,49826.72,4536,19577,9.64
Germany,Western Europe,2021,November,Adventure,392268,942669.51,246556.16,4384.85,121298.73,24385.86,1797,65902,7.87
Spain,Australia,2023,September,Adventure,240343,24581.72,210697.24,3515.76,127109.35,9943.2,3632,97210,2.2
Germany,Australia,2023,September,Leisure,436995,457224.96,435292.62,4400.46,160236.38,11676.72,1717,13320,8.99
Netherlands,Western Europe,2020,April,Adventure,259622,607940.27,388016.47,843.63,166585.77,35880.08,3358,69795,1.27
Canada,Australia,2022,March,Medical,261291,292564.59,351919.21,4871.96,137945.23,2732.33,2828,59590,1.01
Spain,Western Europe,2022,March,Cultural,74763,271889.5,219777.54,3719.54,169108.95,4512.23,2493,12117,6.58
Australia,Australia,2022,March,Eco-tourism,166013,711972.88,153471.86,815.19,61144.6,10763.32,3632,38889,9.9
USA,North America,2020,April,Medical,416605,290485.04,80381.44,1204.98,159121.8,5726.52,1085,73877,2.01
USA,North America,2021,January,Adventure,412823,35280.69,48357.25,905.57,178583.38,25004.57,2063,9665,9.5
USA,Australia,2021,July,Leisure,157344,422270.57,67462.37,4699.69,140673.56,8355.49,4442,57074,2.73
Switzerland,North America,2020,December,Cultural,84064,288820.46,208437,2475.1,166622.06,21929.09,4293,1780,9.16
France,North America,2020,October,Eco-tourism,13261,861388.87,376946.4,1123.1,120045.33,18876.28,2351,58250,7.21
Italy,Australia,2021,May,Leisure,209953,319043.8,471002.12,3164.21,177690.04,25843.19,1310,77600,3.99
USA,Western Europe,2023,September,Medical,277617,521807.76,330144.21,4467.15,7634.8,49885.94,3667,1356,6.76
Switzerland,North America,2021,August,Eco-tourism,297317,789349.58,71541.31,1052.29,196697.77,30018.24,435,64968,3.81
Germany,North America,2022,February,Medical,401821,557504.96,62980.72,1401.29,54862.37,5354.98,1372,17727,2.71
UK,Australia,2023,April,Eco-tourism,438745,279685.39,213513.02,3179.75,146183.07,48869.11,3832,26006,6.82
USA,Australia,2020,September,Medical,199324,83848.42,331848.24,4926.62,11541.19,29907.73,3033,38811,7.38
UK,Australia,2022,May,Adventure,333902,971172.1,412769.18,4690.84,60472.39,17123.4,4991,84677,6.52
Netherlands,Australia,2022,September,Leisure,358182,265297.45,410481.52,4661.14,163020.61,31967.68,4267,75222,8.23
Italy,North America,2022,July,Leisure,140015,48869.99,199519.02,3924.91,99569.73,28852.62,4700,30919,7.87
Spain,Western Europe,2022,April,Medical,49157,522461.98,219688.51,3072.65,100728.21,22251.91,913,47656,3.9
Netherlands,Western Europe,2020,December,Cultural,74971,561330.11,167737.61,4227.85,14862.76,31822.66,2200,12299,5.27
USA,Western Europe,2023,April,Leisure,265633,294597.24,382867.95,2649.9,93682.9,7381.28,622,41587,8.35
USA,Western Europe,2022,March,Cultural,240095,161692.26,190588.16,4869.51,172904.69,15820.64,499,22139,7.55
Switzerland,Western Europe,2020,November,Adventure,164428,243786.59,264150.94,3515.68,114933.77,43346.23,3953,52246,9.11
UK,Western Europe,2023,May,Medical,490547,408539.92,198422.69,1260.7,39354.58,46296.37,4942,62543,8.71
Italy,Western Europe,2022,August,Cultural,323723,477123.27,276606.78,2135.23,65269.32,48146.34,3922,59106,1.12
UK,Australia,2021,April,Medical,222127,492315.51,324301.54,4115.26,134392.21,16328.54,2823,26982,9.6
Switzerland,Australia,2021,April,Eco-tourism,474562,221648.95,207939.95,2481.04,74688.88,46279.69,3144,23403,7.85
Spain,North America,2021,January,Medical,56227,400616.32,480937.1,2481.95,119199.59,18865.53,2721,88391,8.97
Spain,Western Europe,2022,December,Adventure,314938,32240.36,191456.33,3959.02,28338.02,44481.58,481,77272,9.47
Canada,Western Europe,2022,August,Eco-tourism,327924,61864.38,61174.27,4336.62,48179.25,32097.41,1851,32472,8.23
Germany,North America,2023,March,Leisure,342404,99257.98,374033.08,796.49,151383.49,5536.31,4143,50191,1.76
Spain,Western Europe,2020,January,Adventure,160007,386620.1,64855.41,4413.17,6271.87,3640.28,1124,92994,2.37
Canada,Australia,2021,September,Adventure,149016,391806.63,132099.37,1796.12,11556.74,47197.08,1280,3381,7.19
USA,North America,2023,August,Adventure,45467,720364.83,384054.85,1495.13,168781.07,47158.26,484,95984,5.2
Netherlands,Western Europe,2022,February,Adventure,345713,939294.07,276392.14,4320.61,10146.07,39951.19,4710,79546,8.28
UK,Western Europe,2021,December,Medical,151252,754802.39,104001.09,3809.44,98169.57,45463.48,3382,88505,8.94
France,Australia,2021,August,Cultural,268086,493992.79,16485.05,2490.81,138820.52,5672.68,2586,12729,5.94
Switzerland,North America,2023,January,Eco-tourism,32051,101746.4,290784.72,4321.61,142927.38,41129.08,2798,41313,4.45
Germany,North America,2022,March,Cultural,40303,816281.67,473640.05,3386.38,64283.28,5456.78,295,10593,9.28
Spain,Australia,2021,January,Leisure,424620,629969.44,412719.24,2977,68048.97,4505.44,4343,22657,5.49
Switzerland,Australia,2023,January,Leisure,492722,132241.6,233146.43,3009.78,137554.32,37288.5,1150,20973,8.59
Italy,North America,2021,September,Adventure,356069,139084.2,375849.01,3319.86,133238.11,49492.78,2293,55057,1.82
UK,Australia,2022,October,Cultural,309052,492532.41,439179.31,3956.43,98756.76,17482.45,2127,65420,2.26
Germany,Western Europe,2022,May,Eco-tourism,475407,428139.47,60694.96,4244.39,97234.21,20376.31,4321,63390,8.39
UK,North America,2020,May,Eco-tourism,483367,690432.04,147501.06,1226.42,35012.23,45303.99,988,1426,9.49
Germany,North America,2020,March,Eco-tourism,405165,603290.68,28106.63,1550.57,77484.4,43423.85,4324,93597,6.53
UK,North America,2020,July,Medical,242181,436010.97,182757.87,1709.92,146910.01,3219.88,4156,3045,7.7
Spain,Australia,2023,April,Adventure,158147,594936.16,444675.71,2202.35,88393.43,24651.03,1197,77382,1.38
Canada,Australia,2023,September,Cultural,190546,845399.29,241242.68,2783,152984.55,42209.85,2358,44185,6.75
Netherlands,North America,2021,August,Medical,72996,319655.99,228115,2649.7,45240.25,27530.63,4325,62118,4.45
USA,North America,2022,June,Eco-tourism,127868,100670.12,27589.53,4531.65,25837.67,9882.6,678,75083,7.96
UK,Western Europe,2023,October,Medical,161659,180686.56,195629.23,2501.66,191928.33,29248.65,1816,40672,9.62
UK,Western Europe,2022,October,Cultural,245019,720198.35,71712.12,4321.28,198005.36,46387.15,265,10124,4.55
Italy,Australia,2023,July,Leisure,40710,494175.69,429158.78,1938.87,59215.08,18758.96,2784,36687,3.69
Germany,North America,2023,January,Eco-tourism,298694,979578.8,158913.14,3687.92,57335.66,35249.62,1516,93065,3.38
Germany,North America,2020,February,Leisure,257613,820301.23,353152.48,1623.35,154948.35,47167.67,4420,90924,6.97
Netherlands,North America,2022,December,Medical,82649,872882.22,414989.52,1691.11,87669.02,29815.54,4151,95094,6.19
France,Western Europe,2023,August,Cultural,467566,620271.26,334134.12,780.6,197755.35,38151.19,60,1638,6.54
Italy,Australia,2022,February,Cultural,44867,548009.35,297754.66,3477.22,166777.58,27413.58,859,95447,5.9
UK,North America,2020,March,Eco-tourism,257796,790056.75,427565.86,2999.36,119636.21,31678.2,3929,7821,3.1
Netherlands,Western Europe,2021,February,Adventure,441256,823652.05,42101.04,2991.29,32565.87,31451.58,2924,34776,9.6
USA,Australia,2022,December,Medical,304751,350652.52,33397.4,2564.41,53747.32,20784.5,107,1215,5.73
Netherlands,North America,2021,May,Cultural,416730,506287.12,108770.63,2808.64,154003.58,40401.61,1919,95352,3.66
USA,Western Europe,2023,October,Leisure,333080,263054.61,36276.06,3783.04,156236.72,3882.83,1722,64904,8.18
USA,Western Europe,2023,October,Cultural,240716,605342.87,454238.59,2821.11,126053.25,19186.96,2037,70612,7.3
Italy,North America,2023,June,Eco-tourism,254851,882787.09,457910.38,763.29,191314.96,1962.84,887,62973,2.58
Australia,Australia,2020,March,Cultural,267474,807867.46,240295.7,3917.66,146573.44,27386.37,1596,86062,2.71
Germany,North America,2020,October,Cultural,27489,856972.65,216053.29,1261.74,79425.38,5633.99,851,27522,7.83
USA,North America,2022,September,Adventure,428681,685813.95,476196.83,2491.5,59843.44,33592.57,1007,67965,5.95
UK,Australia,2020,August,Eco-tourism,292423,368067.97,300934.98,2663.66,73369.69,26526.97,4502,36932,9.4
Switzerland,Western Europe,2021,November,Eco-tourism,97170,274860.42,315364.61,1312.3,161027.68,42565.92,328,93619,4.12
Australia,Western Europe,2023,October,Leisure,16216,495515.95,360330.74,2752.92,74747.55,25245.74,2025,56290,6.74
Italy,Western Europe,2022,June,Eco-tourism,26739,637307.89,24851.64,996.38,161170.76,2950.24,4355,4622,7.05
USA,Western Europe,2021,June,Medical,215336,967410.12,302304.96,912.2,58469.91,27615.96,3995,92992,5.71
Netherlands,Western Europe,2023,September,Leisure,492536,887808.91,339758,4985.49,162284.32,39527.95,527,87129,4.36
France,North America,2022,March,Medical,263338,737935.65,374523.68,3773.63,10415.11,25263.38,3216,38732,8.11
Germany,Australia,2023,January,Cultural,336051,439683.31,494923.89,2817.44,87497.34,38114.31,1858,38256,5.41
Australia,Western Europe,2023,December,Medical,460349,716000.19,409232.64,3831.12,22841.44,35182.84,85,58724,9.54
Italy,North America,2020,May,Cultural,126765,579430.31,19345.07,3832.72,170657.13,13080.07,3649,73875,9.24
France,Western Europe,2020,August,Medical,391480,579931.05,209088.78,4179.66,104279.95,30377.61,1136,34189,6.44
UK,Australia,2022,July,Eco-tourism,329705,864649.22,379828.57,3156.22,145333.72,42333.15,4006,33307,9.74
Canada,Western Europe,2022,April,Medical,271839,295272.31,445431.09,818.7,114240.82,44052.72,3023,23701,7.2
Canada,Australia,2022,May,Adventure,474563,309329.53,59344.58,4523.55,180062.47,47456.11,2975,90035,5.87
Germany,North America,2021,September,Leisure,61756,623129.63,481341.85,1707.09,192564.53,5125.14,1837,59563,2.21
France,North America,2023,February,Leisure,478613,713480.27,306514.2,2969.54,53927.23,11463.36,1522,77613,9.59
USA,Australia,2023,October,Medical,482019,129347.5,421174.57,3613.21,184828.76,40480.1,1947,51085,1.58
Australia,Western Europe,2021,March,Eco-tourism,255485,958182.89,378351.97,2147.68,163818.29,17449.92,3776,80772,3.42
France,Western Europe,2022,December,Medical,347325,353420.74,223352.56,1757.73,125126.58,16814.73,3911,12306,1.5
Germany,Western Europe,2021,August,Leisure,78279,955017.26,153355.71,1721.44,126509.53,15538.97,4085,94879,8.44
Switzerland,Australia,2020,August,Leisure,88854,492797.99,84303.15,4195.23,127059.98,12052.16,4227,82000,3
France,Australia,2022,July,Cultural,455398,958632.24,378303.25,1649.74,66391.06,42815.93,4974,26273,7.07
Netherlands,Australia,2020,October,Leisure,17802,283644.58,101789.69,4630.06,44409.65,11574.68,1797,81959,6.61
Spain,North America,2023,March,Eco-tourism,56271,229073.6,20473.41,3131.74,18804.12,47700.91,4326,78204,6.43
Germany,Australia,2022,May,Medical,18949,520824.28,484758.1,4970.85,117730.02,10494.49,3062,1245,6.14
Switzerland,North America,2020,November,Leisure,19695,887803.02,70404.43,4083.9,154201.26,7251.89,4008,8080,5.49
USA,North America,2021,January,Cultural,76232,276512.83,39389,1112.09,150820.12,12814.94,3653,80374,2.4
USA,Australia,2021,June,Cultural,117878,767115.37,136597.93,3009.48,188813.34,8969.39,2174,25186,4.37
Spain,Australia,2020,January,Cultural,266556,731612.87,228549.6,866.71,173938.69,44527.92,4711,62382,9.61
UK,North America,2021,June,Adventure,418322,681914.77,7690.78,2305.53,110478.82,46781.08,2498,93317,3.24
USA,Australia,2023,August,Adventure,173033,82460.72,191792.95,3198.83,66557.54,29174.92,915,25858,4.77
Australia,North America,2022,July,Leisure,168163,389758.98,137964.48,2999.7,32513.92,19829.81,4598,34897,7.52
Spain,Western Europe,2020,March,Adventure,453663,756581.01,53272.31,4682.85,156650.78,22176.66,705,46053,8.35
Netherlands,Australia,2020,February,Medical,363201,964204.24,79195.63,817.81,166680.94,41700.99,145,21731,4.51
Italy,North America,2022,December,Leisure,27598,889314.54,387791.82,2801.82,11643,12911.17,3781,98364,2.14
Australia,North America,2023,July,Eco-tourism,465805,461532.06,106321.89,1176.9,34989.61,36384.92,1365,47781,2.31
USA,Western Europe,2022,February,Leisure,136874,486583.37,385315.07,1185.22,7090.89,32968.75,3748,16970,6.98
Germany,Australia,2020,September,Eco-tourism,214549,426989.86,211249.81,4165.7,9868.9,5983.05,1572,71372,5.23
Spain,North America,2020,April,Cultural,173710,703433.07,300352.92,890.14,18444.1,10370.96,4346,91508,1.16
Canada,Australia,2023,August,Eco-tourism,389282,319438.11,458694.91,1920.17,63977.6,45692.83,2641,39077,5.51
Netherlands,North America,2022,April,Cultural,195895,838282.96,479873.27,1918.31,112276.81,19952.71,154,94864,7.11
France,Australia,2020,September,Cultural,99856,639227.56,350258.21,1224.04,119105.59,5032.41,3004,98561,4.2
Switzerland,Australia,2021,December,Leisure,447962,207052.82,277675.84,1470.06,120305.16,33491.43,3518,51960,9.95
USA,North America,2021,November,Leisure,22631,959079.91,450493.28,4293.45,170688.67,6908.71,4398,53891,3.9
Germany,North America,2021,October,Medical,257196,776790.66,285506.09,2824.78,177672.51,9091.35,2014,11094,6.46
Australia,Australia,2022,April,Medical,203578,147452.07,464405.99,1838.6,141215.69,28709.44,1860,72497,7.66
Canada,Western Europe,2023,September,Adventure,120073,398739.07,408359.63,882.42,177220.32,19289.97,4850,4685,6.21
Switzerland,North America,2021,January,Medical,188688,517511.41,489179.25,1961.16,154790.97,36584.9,3654,21675,6.18
France,North America,2020,October,Adventure,430390,415896.6,59874.6,1781.68,122088.72,15331.11,3019,92694,4.6
USA,Western Europe,2020,July,Cultural,80878,841361.66,137816.68,2474.98,81561.46,26448.19,3323,78957,9
France,North America,2020,March,Leisure,11078,876212.21,337397.49,4060.74,180350.33,27874.43,82,25254,4.85
Canada,Australia,2021,June,Eco-tourism,321418,807821.33,94653.91,2870.43,169675.82,30517.91,1462,4664,4.52
Australia,North America,2022,June,Medical,175727,517801.99,196408.98,612.07,19213.06,9243.95,1306,15719,6.17
Italy,Western Europe,2022,November,Adventure,129221,310256.63,492727.76,795.99,53568.33,6630.42,105,38008,9.51
UK,North America,2023,March,Leisure,201193,865690.48,287570.09,3314.32,44275.47,5158.89,661,64366,5.54
UK,Western Europe,2020,March,Medical,236555,522151.26,215673.03,3563.44,17467.11,29668.47,4983,67591,2.05
Italy,Australia,2021,January,Adventure,133957,633465.01,261295.26,512.7,79952.51,25498.91,763,99058,8.98
Germany,Western Europe,2022,April,Cultural,391605,52333.77,120906.88,1255.95,39129,18265.11,2799,92697,4.32
Spain,North America,2020,July,Medical,67073,392256,14392.3,2407.77,172716.63,31527.51,1934,4882,1.28
Netherlands,North America,2023,May,Adventure,494628,820444.41,319084.15,1987.21,193464.34,3659.46,4988,82588,9.06
Italy,Western Europe,2023,January,Medical,359508,952017.08,145466.56,4672.76,69021.25,48991.87,3263,19045,4.2
Italy,Western Europe,2021,December,Adventure,59906,982698.37,337422.91,4016.14,76752.23,43137.75,2076,48596,3.95
Switzerland,North America,2021,August,Adventure,294879,815081.47,16673.36,4719.41,73160.01,42982.94,1238,32603,3.72
Switzerland,North America,2020,May,Eco-tourism,469421,149241.16,273970.06,4400.68,197417.79,42825.66,2899,8833,2.99
USA,Australia,2021,March,Adventure,138238,292300.92,477148.79,2319.9,72020.75,28734.61,1265,56817,1.05
Australia,North America,2022,February,Leisure,429334,55521.76,133788.8,4467.72,153185.3,5354.55,733,62347,3.02
Netherlands,North America,2021,April,Leisure,152885,752904.54,493704.17,1933.85,117659.84,18369.66,2497,7682,1.7
USA,Western Europe,2021,February,Leisure,451160,388743.95,143404.83,2059.41,52748.79,3543.81,3768,44604,9.95
France,North America,2021,July,Adventure,62930,631143.99,364011.26,1505.67,193432.28,37917.1,4302,21709,4.66
France,Western Europe,2020,December,Leisure,52004,591535.45,206162.24,613.32,114891.5,15138.1,2226,99712,5.33
France,North America,2021,February,Adventure,370328,377398.9,497431.77,1284.14,86680.94,36219.68,3755,83638,8.85
USA,Australia,2020,June,Medical,75859,306667.15,164249.06,2178.89,139995.22,45158.49,2621,75426,8.69
UK,North America,2023,January,Medical,46940,686040.38,439488.13,839.37,137303.55,7706.23,1888,66387,9.76
Switzerland,Australia,2021,November,Leisure,142819,267677.95,318239.04,2260.61,97146.62,43328.85,1163,9760,6.63
UK,Australia,2020,October,Leisure,202159,704210.95,162393.63,4870.42,146380.04,25318.01,1624,97685,8.95
Spain,Australia,2020,October,Eco-tourism,129725,298827.78,468786.95,2694.15,96235.33,22441.76,2807,10914,2.68
UK,Australia,2023,July,Leisure,82424,792685.81,91002.97,2735.14,22460.63,14644.58,4224,85331,3.59
Canada,North America,2020,August,Medical,382404,34632.25,241274.43,4469.89,170457.96,42963.9,1200,49729,5.4
USA,Western Europe,2022,March,Adventure,418932,613033.05,427353.75,2790.61,167443.81,32266.68,2932,53197,3.18
USA,North America,2023,October,Eco-tourism,451540,732348.63,221085.5,3184.68,102167.52,11254.06,143,68548,2.18
USA,Western Europe,2022,December,Cultural,271247,430518.16,21417.65,2770.47,92822.17,14472.74,4460,55959,1.18
Canada,Australia,2021,August,Eco-tourism,492080,102615.41,424665.17,4008.26,157101.68,32277.04,3929,5905,5.04
Australia,Western Europe,2023,February,Cultural,175016,108371.89,21363.23,763.1,39251.85,15538.16,1050,57600,1.78
Switzerland,Western Europe,2020,October,Eco-tourism,408701,12787.48,484388.73,861.98,104441.28,48387.74,3896,83037,4
Spain,North America,2022,August,Medical,251445,292560.33,108479.85,1642.37,79568.78,30503.78,3453,45712,5.31
Switzerland,North America,2021,January,Leisure,479632,676323.51,169806.81,1407.89,62973.8,11104.58,1862,42238,9.61
UK,Australia,2022,August,Medical,428427,468573.54,127702.35,4531.5,13096.99,15828.58,3033,44495,3.7
Netherlands,Australia,2021,November,Adventure,56532,943454.03,444711.01,4444.27,103920.44,31594.03,2931,22322,5.98
Switzerland,Western Europe,2020,November,Leisure,388804,300612.63,63578.96,3766.98,33598.73,39114.14,2283,30865,4.07
Switzerland,Australia,2020,July,Cultural,387820,623016.43,378783.92,2452.1,103609.29,29672.73,1696,39845,6.2
UK,Australia,2022,July,Leisure,103213,101401.58,353626.76,4229.19,127860.33,1197.87,4551,90493,1.17
Germany,Australia,2022,October,Adventure,155572,295867.27,153458.58,3697.99,198589.1,34854.86,3074,55664,4.85
France,Western Europe,2022,September,Adventure,31416,343012.5,239714.86,4467.68,156771.97,9144.27,563,56181,9.31
Germany,North America,2020,June,Adventure,265606,494766.22,127363.31,3056.75,126321.67,28813.78,3780,69051,6.93
Spain,Australia,2023,February,Cultural,130211,707890.01,124787.83,1141.06,168367.42,42621.1,3890,48417,4.23
Canada,Western Europe,2022,June,Adventure,15959,151160.97,234047.59,4298.47,147416.88,12010.65,422,33762,4.7
Canada,Western Europe,2022,January,Adventure,473819,603625.9,105248.33,758.48,98972.82,7689.63,2061,54504,1.69
UK,North America,2023,December,Cultural,209032,735331.63,322881.3,2421.12,42985.78,25679.13,4141,86981,8.52
UK,Western Europe,2023,June,Leisure,343914,497481.66,362982.67,1400.61,65142.5,14624.71,2719,23208,7.98
USA,North America,2020,June,Leisure,211199,530898.17,139854.42,4896.96,158953.73,44496.58,954,11795,1.1
Spain,Australia,2021,November,Adventure,395675,870056.38,403749.65,1793.96,117635.36,39231.18,3807,20838,6.41
Spain,Western Europe,2023,July,Cultural,167853,48348.04,277481.42,3256.55,199315.21,46168.98,4746,64012,4.06
Australia,Australia,2022,September,Adventure,239996,463136.27,125353.11,3375.38,79628.95,44452.7,3355,13378,2.6
Germany,North America,2023,January,Eco-tourism,327429,835974.65,266561.98,4342.68,18816.02,14771.56,882,76374,1.51
Canada,Australia,2020,September,Eco-tourism,311713,832977.91,376632.57,3833.4,20406.61,3684.78,1475,73448,3.1
Spain,Western Europe,2021,May,Adventure,387105,821919.12,64967.57,3366.22,55885.82,7058.3,3403,71646,2.52
Italy,North America,2020,October,Adventure,65105,16317.11,326865.84,4242.72,144689.51,49114.7,1927,99357,2.89
Switzerland,North America,2020,February,Adventure,332365,331076.94,300326.09,4164.39,142012.97,36733.94,396,89246,7.82
France,Western Europe,2023,November,Leisure,330518,350629.04,366185.65,3516.91,74416.24,20921.84,1149,30931,3.81
France,North America,2023,February,Adventure,238274,146129.17,209951.11,2390.72,140655.76,12842.36,1236,52985,8.89
UK,Western Europe,2020,November,Eco-tourism,438935,618336.21,27622.86,4535.91,72853.55,25176.69,2202,69105,1.86
UK,Western Europe,2020,December,Cultural,212231,391206.71,488402.05,1160.75,168781.87,39831.84,3087,88327,8.87
Spain,North America,2021,November,Medical,299879,449352.38,78959,2917.72,13627.81,15042.27,4974,88610,2.39
Germany,Western Europe,2023,January,Eco-tourism,196010,327944.44,327182.95,4488.76,165765.35,34729.62,3151,15539,8.29
Switzerland,Western Europe,2021,June,Cultural,161786,744802.59,246600.67,4140.65,86807.91,14713.2,2101,57426,1.64
Australia,Australia,2022,September,Eco-tourism,152229,103422.75,458588.5,3306.6,102169.89,22940.91,2888,44774,9.53
UK,North America,2020,April,Adventure,314134,25373.24,152544.96,3373.46,102163.01,1550.81,4227,49596,3.23
Italy,North America,2020,December,Leisure,276923,753783.91,253050.52,3562.5,88322.68,25773.36,3248,31498,2.47
Australia,North America,2022,November,Adventure,148879,617615.49,226344.36,1153.09,35792.14,35654.07,4354,32972,1.84
Germany,North America,2020,October,Cultural,234100,443359.75,34957.92,3347.14,109545.17,3678.19,1966,75975,7.28
Germany,Australia,2020,July,Adventure,144163,954250.95,230580.3,3545.95,177258.15,9997.51,2111,13710,4.1
Switzerland,Australia,2020,September,Cultural,98047,59238.75,398799.57,3453.75,149199.24,14589.87,231,68148,1.62
Switzerland,North America,2021,September,Leisure,224728,805578.39,471862.94,1089.21,137566.37,41705.86,3624,21807,3.77
Spain,North America,2022,September,Cultural,479239,360362.91,184774.55,2917.07,121935.52,19782.2,2931,74965,5.87
Italy,Western Europe,2023,April,Leisure,291983,829362.29,324523.76,620.25,76284.7,2903.58,1234,16979,4.93
Germany,Australia,2021,June,Leisure,27029,550653.66,437384.21,3574.31,176087.12,15011.73,1317,87654,7.92
UK,North America,2020,April,Leisure,433921,656907.81,126362.05,4293.39,126382.91,24296.79,2619,52892,1.14
France,Western Europe,2020,March,Adventure,329862,800335.57,54994.28,848.31,76960.2,46015.08,4264,57694,8.64
USA,North America,2021,January,Eco-tourism,445534,883430.04,131899.31,3224.08,50656.46,44047.98,2377,89444,4.24
Italy,North America,2021,March,Adventure,27925,650348.62,69217.01,3184.37,54176.57,20812.2,3558,81499,6.42
Spain,North America,2022,March,Medical,100323,266276.19,184214.2,4908.65,20739.34,26013.78,2662,63140,3.22
France,Western Europe,2021,February,Eco-tourism,219573,580656.58,185115.65,4993.87,92262.62,9291.85,4647,4118,7.03
Germany,North America,2021,April,Cultural,179161,622614.08,463971.94,1105.12,24661.28,21074.29,2848,55876,5.61
Australia,Western Europe,2020,January,Cultural,243362,699285.19,313933.43,4576.21,122100.09,47538.23,936,94505,7.35
UK,North America,2022,April,Leisure,173054,588962.24,354800.96,4256.22,7019.22,13426.37,2136,71216,7.37
Spain,Western Europe,2023,March,Adventure,150709,636504.65,72688.18,1745.94,146256.82,2564.74,3136,60595,4.96
Switzerland,North America,2021,January,Adventure,477823,603827.11,423165.69,3601.71,118891.93,27806.79,212,59821,8.18
Italy,Australia,2020,August,Leisure,331501,24820.93,370323.08,2095.48,12223.19,47866.33,2496,8579,3.36
Germany,North America,2020,June,Cultural,110016,543070.22,51376.16,4708.25,99425.29,26761,2558,78347,5.34
USA,North America,2020,September,Medical,73158,832324.1,475161.01,3888.27,159076.08,16510.71,3337,26730,2.02
Italy,Australia,2020,February,Adventure,130336,583657.55,388934.36,3364.45,140821.07,29494.19,642,98981,7.03
Canada,Australia,2021,August,Adventure,393525,14875.96,42252.63,2027.88,43792.87,1087.55,369,85733,4.42
Italy,Australia,2021,June,Cultural,171241,235985.98,333076.63,829.62,157749.07,14049,106,61617,8.62
Canada,North America,2021,July,Leisure,387420,30934.08,272064.28,4820.85,7700.11,23397.18,1204,61840,4.53
USA,Australia,2022,May,Cultural,196728,104190.32,309893.8,3131.02,172816.51,43000.26,3867,98559,7.7
Australia,Western Europe,2021,November,Adventure,162810,46383.44,434084.22,1375.53,197847.91,24338.94,2259,85230,2.28
Italy,Australia,2023,February,Medical,419769,986762.06,406593.36,4327.57,116308.63,34394.77,3191,47943,1.33
Italy,Australia,2021,October,Adventure,385957,783410.97,365512.4,783.16,49998.95,5613.25,2063,98354,7.05
France,Australia,2020,December,Leisure,17876,247147.32,277143.71,2660.82,173891.68,15310.52,2516,81560,7.88
Netherlands,Western Europe,2021,January,Adventure,239201,651012.57,127364.03,4184.89,74081.53,28909.99,1508,17489,4.26
Spain,Western Europe,2023,October,Eco-tourism,180840,706920.82,464301.99,2677.49,74083.72,5385.57,899,64390,9.5
UK,Western Europe,2020,December,Leisure,399746,342964.65,481301.77,2715.4,71607,35630.75,3188,6494,5.66
USA,Australia,2020,November,Cultural,306139,15418.38,286571.18,2298.55,57091.6,5689.14,3001,28944,4.81
France,North America,2021,June,Leisure,206143,665736.88,479016.04,2568.24,116709.51,12845.28,561,97214,5.91
Australia,Australia,2021,August,Medical,12382,249898.02,376988.34,2641.64,185360.78,17400.37,3106,48166,2.05
Netherlands,North America,2020,September,Eco-tourism,171015,896732.39,17166.02,4762.28,86782.63,23064.5,4040,97642,3.09
